phase,metric,n_visual,n_visual_haptic,mean_visual,mean_visual_haptic,mean_diff_haptic_minus_visual,cohen_d,exact_permutation_p
Baseline,completion_time_s,5,5,55.8840,57.6420,1.7580,0.0853,0.896825
Baseline,position_rmse_mm,5,5,34.3800,27.6600,-6.7200,-0.6515,0.357143
Baseline,mean_velocity_mm_s,5,5,46.6000,40.4400,-6.1600,-0.6585,0.301587
Baseline,velocity_std_mm_s,5,5,58.8400,50.1400,-8.7000,-0.4888,0.507937
Baseline,difficulty_1_10,5,4,6.8000,6.0000,-0.8000,-0.5164,0.507937
Training 1,completion_time_s,5,5,46.8480,58.8860,12.0380,1.3500,0.079365
Training 1,position_rmse_mm,5,5,25.6000,23.7600,-1.8400,-0.1882,0.746032
Training 1,mean_velocity_mm_s,5,5,47.6000,45.1400,-2.4600,-0.1795,0.777778
Training 1,velocity_std_mm_s,5,5,71.7200,73.9800,2.2600,0.0559,0.888889
Training 1,difficulty_1_10,5,4,7.2000,6.5000,-0.7000,-0.9501,0.238095
Training 2,completion_time_s,5,5,42.8620,49.4560,6.5940,0.8415,0.230159
Training 2,position_rmse_mm,5,5,18.9600,18.3400,-0.6200,-0.2406,0.785714
Training 2,mean_velocity_mm_s,5,5,53.9400,53.0000,-0.9400,-0.0698,0.888889
Training 2,velocity_std_mm_s,5,5,99.1600,74.6000,-24.5600,-0.8113,0.238095
Training 3,completion_time_s,5,5,39.1640,47.1840,8.0200,1.1663,0.111111
Training 3,position_rmse_mm,5,5,19.3400,17.7200,-1.6200,-0.4165,0.666667
Training 3,mean_velocity_mm_s,5,5,53.8400,50.0800,-3.7600,-0.3124,0.619048
Training 3,velocity_std_mm_s,5,5,86.7200,71.1200,-15.6000,-0.6100,0.420635
Training 4,completion_time_s,5,5,41.1360,46.4500,5.3140,0.7332,0.261905
Training 4,position_rmse_mm,5,5,18.1000,19.9800,1.8800,0.5749,0.388889
Training 4,mean_velocity_mm_s,5,5,52.2400,51.8000,-0.4400,-0.0374,0.968254
Training 4,velocity_std_mm_s,5,5,83.7200,72.2000,-11.5200,-0.3466,0.603175
Training 5,completion_time_s,5,5,40.4480,45.9160,5.4680,0.5955,0.444444
Training 5,position_rmse_mm,5,5,16.1200,16.9800,0.8600,0.2718,0.690476
Training 5,mean_velocity_mm_s,5,5,49.8200,55.8400,6.0200,0.3790,0.579365
Training 5,velocity_std_mm_s,5,5,83.3400,75.0400,-8.3000,-0.3351,0.611111
Training 5,difficulty_1_10,2,2,6.0000,5.0000,-1.0000,-0.7071,0.666667
Evaluation,completion_time_s,5,5,73.9660,73.8480,-0.1180,-0.0116,1.000000
Evaluation,position_rmse_mm,5,5,13.9200,16.4800,2.5600,0.9661,0.166667
Evaluation,mean_velocity_mm_s,5,5,44.4000,42.7200,-1.6800,-0.1631,0.817460
Evaluation,velocity_std_mm_s,5,5,61.6200,56.8600,-4.7600,-0.1679,0.761905
Evaluation,difficulty_1_10,5,4,6.4000,6.5000,0.1000,0.0828,1.000000
