group,phase_from,phase_to,metric,n_paired,mean_from,mean_to,mean_change,mean_change_percent,cohen_d_paired,exact_sign_test_p
Visual,Baseline,Evaluation,completion_time_s,3,51.6667,66.7433,15.0767,55.18,0.5224,1.000000
Visual,Baseline,Evaluation,position_rmse_mm,3,26.6333,13.5000,-13.1333,-44.97,-1.3800,0.250000
Visual,Baseline,Evaluation,mean_velocity_mm_s,3,46.7667,47.0333,0.2667,2.09,0.0623,1.000000
Visual,Baseline,Evaluation,velocity_std_mm_s,3,66.9000,74.1667,7.2667,16.82,0.4404,1.000000
Visual,Baseline,Evaluation,difficulty_1_10,3,6.3333,5.6667,-0.6667,-1.19,-0.2887,1.000000
Visual,Training 1,Training 5,completion_time_s,5,46.8480,40.4480,-6.4000,-11.68,-0.8916,0.375000
Visual,Training 1,Training 5,position_rmse_mm,5,25.6000,16.1200,-9.4800,-27.52,-0.6947,0.375000
Visual,Training 1,Training 5,mean_velocity_mm_s,5,47.6000,49.8200,2.2200,5.85,0.5744,0.375000
Visual,Training 1,Training 5,velocity_std_mm_s,5,71.7200,83.3400,11.6200,31.07,0.5236,1.000000
Visual,Training 1,Training 5,difficulty_1_10,2,7.5000,6.0000,-1.5000,-18.75,-0.7071,1.000000
Visual + Haptic,Baseline,Evaluation,completion_time_s,3,58.5267,74.0967,15.5700,38.67,0.7193,1.000000
Visual + Haptic,Baseline,Evaluation,position_rmse_mm,3,29.9000,16.6333,-13.2667,-43.05,-2.1716,0.250000
Visual + Haptic,Baseline,Evaluation,mean_velocity_mm_s,3,40.9333,43.8000,2.8667,6.80,0.3130,1.000000
Visual + Haptic,Baseline,Evaluation,velocity_std_mm_s,3,45.9333,45.8667,-0.0667,-1.86,-0.0090,1.000000
Visual + Haptic,Baseline,Evaluation,difficulty_1_10,2,5.5000,5.5000,0.0000,5.36,0.0000,1.000000
Visual + Haptic,Training 1,Training 5,completion_time_s,5,58.8860,45.9160,-12.9700,-22.48,-1.5790,0.375000
Visual + Haptic,Training 1,Training 5,position_rmse_mm,5,23.7600,16.9800,-6.7800,-19.18,-0.7061,0.375000
Visual + Haptic,Training 1,Training 5,mean_velocity_mm_s,5,45.1400,55.8400,10.7000,29.01,0.5252,0.375000
Visual + Haptic,Training 1,Training 5,velocity_std_mm_s,5,73.9800,75.0400,1.0600,10.61,0.0427,1.000000
Visual + Haptic,Training 1,Training 5,difficulty_1_10,2,6.5000,5.0000,-1.5000,-23.81,-2.1213,0.500000
